timestamp,download_speed,upload_speed,latency,jitter,dns_lookup_time,traceroute_hops,packet_loss,packet_sent,packet_rec,rx_bandwidth,tx_bandwidth,protocol,timestamp
2025-03-11T21:25:35.433671,3.2958130726539463,3.9021679372607547,50.13132095336914,27.910709381103516,0.0,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T21:25:35.433671
2025-03-11T21:27:45.886999,4.537004381656509,4.067673373499848,451.1418342590332,11.62576675415039,197.34644889831543,0,10.0,10.0,9.0,5.5,2.3,tcp,2025-03-11T21:27:45.886999
2025-03-11T21:30:12.170024,0.0,0.0,95.37577629089355,40.31777381896973,0.0,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T21:30:12.170024
2025-03-11T21:33:47.589118,0.0,0.0,187.21818923950195,105.00407218933105,103.53326797485352,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T21:33:47.589118
2025-03-11T21:36:41.746021,2.060850147816375,0.2795134249157023,0,0,0,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T21:36:41.746021
2025-03-28T22:56:44.833847,11.344758541368288,120.20975842068489,6.962776184082031,5.982160568237305,15.47384262084961,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-28T22:56:44.833847
2025-03-28T22:57:30.588716,10.564168692220411,120.88919473082963,15.630722045898438,15.626668930053711,0.0,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-28T22:57:30.588716
2025-03-28T22:59:26.035162,10.791380937683256,120.00728626609985,0.0,15.578985214233398,0.0,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-28T22:59:26.035162
2025-05-17T14:19:27.499758,41.9261181001936,4.507661092922134,561.1710548400879,267.2615051269531,3.89862060546875,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-05-17T14:19:27.499758
2025-05-17T14:25:07.940104,50.55834091314246,10.769437438902479,98.91724586486816,4.081487655639648,31.6007137298584,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-05-17T14:25:07.940104
2025-05-17T14:25:37.947398,49.17172377869648,11.596102831202291,92.04435348510742,4.886150360107422,0.0,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-05-17T14:25:37.947398
2025-05-18T13:00:54.816039,50.03363681356992,23.582004660168728,38.53106498718262,8.591413497924805,26.727914810180664,0,100.0,10.0,0.0,5.5,2.3,tcp,2025-05-18T13:00:54.816039
2025-05-18T13:02:11.762602,10.856682512635432,13.547822437759235,116.23311042785645,36.92340850830078,9.162187576293945,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-05-18T13:02:11.762602
2025-05-18T13:04:48.018837,17.97338458256514,9.866405856914408,27.2519588470459,3.8764476776123047,30.443668365478516,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-05-18T13:04:48.018837
2025-05-18T13:06:51.544907,6.5486530149914834,27.03030940024867,33.00023078918457,6.842374801635742,0.8478164672851562,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-05-18T13:06:51.544907
2025-06-21T12:19:17.135076,37.027352376211574,7.6743854409483765,150.62499046325684,7.569074630737305,31.544923782348633,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-06-21T12:19:17.135076
2025-06-21T12:20:27.359082,41.10290353746576,9.906745145735163,129.00590896606445,19.837379455566406,1.1034011840820312,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-06-21T12:20:27.359082
2025-06-21T12:26:10.493649,35.842398915300464,6.738689356027917,98.54340553283691,7.817983627319336,25.209903717041016,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-06-21T12:26:10.493649
2025-06-21T12:31:41.334817,0.0,0.0,36.10634803771973,5.962371826171875,23.739099502563477,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-06-21T12:31:41.334817
2025-06-21T12:36:59.327808,0.0,0.0,0,0,0,5,0.0,10.0,10.0,5.5,2.3,tcp,2025-06-21T12:36:59.327808
2025-06-21T12:42:17.313776,0.0,0.0,0,0,0,5,0.0,10.0,10.0,5.5,2.3,tcp,2025-06-21T12:42:17.313776
